"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Create user","LMS service","Wed May 13 10:13:05 UTC 2026","passed","Wed May 13 10:13:06 UTC 2026","create entity","Users","",""
"","29","Delete exercise","LMS service","Wed May 13 10:13:02 UTC 2026","passed","Wed May 13 10:13:02 UTC 2026","delete entity","Exercises","",""
"","32","Create course","LMS service","Wed May 13 10:12:58 UTC 2026","passed","Wed May 13 10:12:58 UTC 2026","create entity","Courses","",""
"","23","Create exercise","LMS service","Wed May 13 10:12:59 UTC 2026","passed","Wed May 13 10:12:59 UTC 2026","create entity","Exercises","",""
"","16","Get file with incorrect file id","LMS service","Wed May 13 10:13:05 UTC 2026","passed","Wed May 13 10:13:05 UTC 2026","validate entity","Files","",""
"","12","Get exercise","LMS service","Wed May 13 10:13:02 UTC 2026","passed","Wed May 13 10:13:02 UTC 2026","get entities","Exercises","",""
"","290","Get file","LMS service","Wed May 13 10:13:03 UTC 2026","passed","Wed May 13 10:13:03 UTC 2026","get entity","Files","",""
"","271","Create file with empty directory","LMS service","Wed May 13 10:13:04 UTC 2026","passed","Wed May 13 10:13:04 UTC 2026","validate entity","Files","",""
"","266","Create file with empty filename","LMS service","Wed May 13 10:13:03 UTC 2026","passed","Wed May 13 10:13:04 UTC 2026","validate entity","Files","",""
"","30","Update exercise","LMS service","Wed May 13 10:13:00 UTC 2026","passed","Wed May 13 10:13:00 UTC 2026","update entity","Exercises","",""
"","536","Create user","LMS service","Wed May 13 10:13:05 UTC 2026","passed","Wed May 13 10:13:05 UTC 2026","create entity","Users","",""
"","18","Get exercise","LMS service","Wed May 13 10:13:00 UTC 2026","passed","Wed May 13 10:13:00 UTC 2026","get entity","Exercises","",""
"","546","Create user","LMS service","Wed May 13 10:13:05 UTC 2026","passed","Wed May 13 10:13:06 UTC 2026","create entity","Users","",""
"","45","Update course","LMS service","Wed May 13 10:12:59 UTC 2026","passed","Wed May 13 10:12:59 UTC 2026","update entity","Courses","",""
"","286","Login with correct email and password","LMS service","Wed May 13 10:12:57 UTC 2026","passed","Wed May 13 10:12:57 UTC 2026","login","Authentication","",""
"","267","Create file","LMS service","Wed May 13 10:13:03 UTC 2026","passed","Wed May 13 10:13:03 UTC 2026","create entity","Files","",""
"","15","Get user me","LMS service","Wed May 13 10:13:07 UTC 2026","passed","Wed May 13 10:13:07 UTC 2026","get entity","Users","",""
"","26","Delete file","LMS service","Wed May 13 10:13:05 UTC 2026","passed","Wed May 13 10:13:05 UTC 2026","delete entity","Files","",""
"","302","Get courses","LMS service","Wed May 13 10:12:58 UTC 2026","passed","Wed May 13 10:12:58 UTC 2026","get entities","Courses","",""
