"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Wed May 13 10:16:40 UTC 2026","passed","Wed May 13 10:16:40 UTC 2026","get entity","Users","",""
"","23","Update exercise","LMS service","Wed May 13 10:16:34 UTC 2026","passed","Wed May 13 10:16:34 UTC 2026","update entity","Exercises","",""
"","291","Get exercise","LMS service","Wed May 13 10:16:34 UTC 2026","passed","Wed May 13 10:16:34 UTC 2026","get entity","Exercises","",""
"","551","Login with correct email and password","LMS service","Wed May 13 10:16:30 UTC 2026","passed","Wed May 13 10:16:31 UTC 2026","login","Authentication","",""
"","291","Get file with incorrect file id","LMS service","Wed May 13 10:16:39 UTC 2026","passed","Wed May 13 10:16:39 UTC 2026","validate entity","Files","",""
"","564","Create user","LMS service","Wed May 13 10:16:39 UTC 2026","passed","Wed May 13 10:16:39 UTC 2026","create entity","Users","",""
"","27","Create course","LMS service","Wed May 13 10:16:32 UTC 2026","passed","Wed May 13 10:16:32 UTC 2026","create entity","Courses","",""
"","294","Create user","LMS service","Wed May 13 10:16:39 UTC 2026","passed","Wed May 13 10:16:39 UTC 2026","create entity","Users","",""
"","300","Delete file","LMS service","Wed May 13 10:16:38 UTC 2026","passed","Wed May 13 10:16:39 UTC 2026","delete entity","Files","",""
"","308","Get courses","LMS service","Wed May 13 10:16:31 UTC 2026","passed","Wed May 13 10:16:31 UTC 2026","get entities","Courses","",""
"","272","Create file with empty directory","LMS service","Wed May 13 10:16:37 UTC 2026","passed","Wed May 13 10:16:38 UTC 2026","validate entity","Files","",""
"","271","Create file with empty filename","LMS service","Wed May 13 10:16:37 UTC 2026","passed","Wed May 13 10:16:37 UTC 2026","validate entity","Files","",""
"","295","Create exercise","LMS service","Wed May 13 10:16:33 UTC 2026","passed","Wed May 13 10:16:33 UTC 2026","create entity","Exercises","",""
"","303","Update course","LMS service","Wed May 13 10:16:32 UTC 2026","passed","Wed May 13 10:16:33 UTC 2026","update entity","Courses","",""
"","269","Create file","LMS service","Wed May 13 10:16:36 UTC 2026","passed","Wed May 13 10:16:36 UTC 2026","create entity","Files","",""
"","281","Get exercise","LMS service","Wed May 13 10:16:35 UTC 2026","passed","Wed May 13 10:16:35 UTC 2026","get entities","Exercises","",""
"","16","Get file","LMS service","Wed May 13 10:16:36 UTC 2026","passed","Wed May 13 10:16:37 UTC 2026","get entity","Files","",""
"","296","Create user","LMS service","Wed May 13 10:16:39 UTC 2026","passed","Wed May 13 10:16:39 UTC 2026","create entity","Users","",""
"","21","Delete exercise","LMS service","Wed May 13 10:16:35 UTC 2026","passed","Wed May 13 10:16:35 UTC 2026","delete entity","Exercises","",""
