"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Mon May 04 15:28:45 UTC 2026","passed","Mon May 04 15:28:45 UTC 2026","get entity","Users","",""
"","31","Create course","LMS service","Mon May 04 15:28:37 UTC 2026","passed","Mon May 04 15:28:37 UTC 2026","create entity","Courses","",""
"","22","Delete file","LMS service","Mon May 04 15:28:44 UTC 2026","passed","Mon May 04 15:28:44 UTC 2026","delete entity","Files","",""
"","23","Delete exercise","LMS service","Mon May 04 15:28:40 UTC 2026","passed","Mon May 04 15:28:40 UTC 2026","delete entity","Exercises","",""
"","269","Create file with empty directory","LMS service","Mon May 04 15:28:43 UTC 2026","passed","Mon May 04 15:28:43 UTC 2026","validate entity","Files","",""
"","268","Create file with empty filename","LMS service","Mon May 04 15:28:42 UTC 2026","passed","Mon May 04 15:28:42 UTC 2026","validate entity","Files","",""
"","552","Create user","LMS service","Mon May 04 15:28:44 UTC 2026","passed","Mon May 04 15:28:45 UTC 2026","create entity","Users","",""
"","32","Get courses","LMS service","Mon May 04 15:28:36 UTC 2026","passed","Mon May 04 15:28:36 UTC 2026","get entities","Courses","",""
"","566","Login with correct email and password","LMS service","Mon May 04 15:28:35 UTC 2026","passed","Mon May 04 15:28:36 UTC 2026","login","Authentication","",""
"","26","Update exercise","LMS service","Mon May 04 15:28:39 UTC 2026","passed","Mon May 04 15:28:39 UTC 2026","update entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Mon May 04 15:28:44 UTC 2026","passed","Mon May 04 15:28:44 UTC 2026","validate entity","Files","",""
"","300","Get exercise","LMS service","Mon May 04 15:28:39 UTC 2026","passed","Mon May 04 15:28:39 UTC 2026","get entity","Exercises","",""
"","294","Create exercise","LMS service","Mon May 04 15:28:38 UTC 2026","passed","Mon May 04 15:28:38 UTC 2026","create entity","Exercises","",""
"","269","Create file","LMS service","Mon May 04 15:28:41 UTC 2026","passed","Mon May 04 15:28:41 UTC 2026","create entity","Files","",""
"","292","Create user","LMS service","Mon May 04 15:28:44 UTC 2026","passed","Mon May 04 15:28:44 UTC 2026","create entity","Users","",""
"","13","Get file","LMS service","Mon May 04 15:28:42 UTC 2026","passed","Mon May 04 15:28:42 UTC 2026","get entity","Files","",""
"","537","Create user","LMS service","Mon May 04 15:28:44 UTC 2026","passed","Mon May 04 15:28:44 UTC 2026","create entity","Users","",""
"","13","Get exercise","LMS service","Mon May 04 15:28:41 UTC 2026","passed","Mon May 04 15:28:41 UTC 2026","get entities","Exercises","",""
"","303","Update course","LMS service","Mon May 04 15:28:38 UTC 2026","passed","Mon May 04 15:28:38 UTC 2026","update entity","Courses","",""
